AcresTotal,Age,AgentIDX,AgentStatus,AnnualExpenses,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,City,CommunityAmenities,CompassSuffix,County,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EquipAndAppliances,FloodPlainYNU,Furnishings,HeatingAndCooling,HighSchool,HOACOAYN,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingStatus,ListPrice,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,OccupancyDesc,OfficeIDX,OfficeStatus,OwnerAgentYN,PhotoCount,PhotoModificationTimestamp,PoolAndPoolExtras,PoolPresent,PostalCode,PropertySubType,PropertyType,PublicRemarks,RearExposureCode,RentIncludes,Rooms,ShortSaleYN,ShowingInstructions,SqFtTotal,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxSectionCode,TaxTownship,TaxYear,TotalUnits,VarDualRateCommYN,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterAndSewer,Waterfront,WaterFrontage,WaterFrontPresent,YearBuilt,Zoning
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,Yes,,"THE BAY VILLAS BLDG 22, 23, 24 & 25 CONDO DECL IN OR BK 362 PG 363 UNIT 107",No,2755059033265,275505903,2012-10-15,3265,,17,2755,059,358231,Active,875,"Crystal River",2013-03-18T13:36:25,,,,Yes,"- Active",No,14,2012-11-13T13:00:22,"Other-See Remarks",No,34428,,Rental,"Available Immediately. 2 bedroom 2 bath condo in Dixie Shores off Ft Island Trail with so much to offer. Price inludes basic cable, lawn maintenance, trash, community pool, tennis court and club house.Tiled kitchen counter tops with pass thru breakfast bar, dining room, large living room that leads to enclosed Florida Room. Oversized utility room withwasher and dryer. Guest bedroom walks out to Florida Room. Lots to offer at an affordable price. Close to the power plant and the beach.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1296,,"Bayshore Dr.",11493,"Bay Villas",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1974,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SUGARMILL WOODS CYPRESS VLG VILLA REPLAT PB 11 PG 105 LOT 88R BLK B-A DESC IN OR BK 690 PG 1566 & OR BK 700 PG 1610 ",No,2755059033265,275505903,2012-10-19,3265,,22,2755,059,358358,Active,1100,Lecanto,2013-03-18T13:38:05,,,,Yes,"- Active",No,11,2012-11-09T18:37:19,"Other-See Remarks",No,34446,,Rental,"Tenant Occupied. Available March 1, 2013. Fully furnished 2/2/2 on golf course. Sweeping views of 3rd fairway of Cypress course. King size bed in Master B/r. Queen in guest B/R. Large flat screen TV in living room. Comfortable screen lanai overlooks green. Formal dining with additional eat-in kitchen with separate screen porch. Washer/Dryer included",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1271,,"Golfview Ct",4,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks",,,No,1986,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1523591",No,2755059033265,275505903,2012-10-24,3265,,22,2755,059,358494,Active,1100,"Other Middle",2013-03-18T13:54:59,,,,Yes,"- Active",No,11,2012-11-12T13:23:51,,No,34446,,Rental,"TENANT OCCUPIED THROUGH 07/31/2013. Fully furnished 2/2/2 onlake with oversized private lot on cul-de-sac. Master B/R offers king size bed,his/her closets and walks out to enclosed under air Florida room that overlooks lake. Master bath has step in shower. Large living room comes with wet bar, dining room,kitchen and eat in breakfast nook. Washer/dryer located in garage. Guest B/Roffers queen size bed. Includes cable, internet, home phone, water, electric, lawn and garbage.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1560,,"GOLFVIEW CT",55,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks",,,No,1986,
.25,,Yes,"- Active",,,No,0,2,4,Homosassa,None,,,,Yes,,"Ceiling Fan(s),Dishwasher,Garage Door Opener(s),Oven-Electric",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"Sugarmill Woods Cypress Village Pb 9 Pg 86 Lot 23 Blk 82",No,275539501316,27553950,2013-01-23,1316,,22,2755,395,700492,Active,1100,Lecanto,2013-01-23T18:58:56,,,,Yes,"- Active",No,8,2013-01-23T18:58:56,,No,34446,,Rental,"This Spacious 4 Bedroom home is waiting for your Family!  Large Bedrooms with an open floor plan includes formal Living Room and Dining Room as well as a Breakfast Nook and Bar for lots of room to entertain! Master Suite features walk in closet and Garden Tub with Split Floor Plan.  Well kept lawn and landscaping included in this rent so this home is Maintenance Free....!!  Close to the Parkway for commuting or fun.  Call to see today!   Ready to Move In!",,"Lawn Care","Breakfast Nook,Dining Room,Family Room,Inside Laundry Rm,Kitchen,Living Room,Master Bedroom Suite",No,"Call Property Manager,Vacant",2176,S,"Honeysuckle Ct",14,"Sugarmill Woods",,,,,,,No,Yes,Yes,"Irrigation - Metered,Sewer - City,Water - City",,,No,2005,
.03,,Yes,"- Active",,,No,1,2,2,Hernando,"Golf Course,Tennis Court(s)",,,,Yes,,"Dishwasher,Disposal,Dryer,Oven/Range-Elec,Refrigerator,Smoke Detector(s),Washer",,Furnished,"Cool-Central Electric,Heat-Central Electric",,Yes,No,"GREENBRIAR OF CITRUS HILLS CONSOLIDATED CONDOMINIUM OR BK 650 PG 1592 BLDG 18 UNIT 3B",No,275521001507,27552100,2013-03-12,1507,,08,2755,210,701655,Active,800,Lecanto,2013-03-20T14:53:31,,,,Yes,"- Active",No,3,2013-03-13T20:23:27,"Heated-Gas,In Ground Pool",No,34442,,Rental,"2 STORY TOWNHOUSE. CLOSE TO GOLF, TENNIS AND SHOPPING.",,"Lawn Care,Pest Control,Pool Care","Dining Room,Kitchen,Living Room",No,"Call Office/Agent,Vacant",1320,E,"Glassboro Ct 18-3B",300,Greenbriar,,,,,,,No,No,No,"Sewer - City,Water - City",,,No,1984,
.18,,Yes,"- Active",,,No,0,2,3,Hernando,"Bike Path,Billiard Room,Clubhouse,Community Center,Exercise Room,Gated Community,Golf Course,Hot Tub/Spa,Pro Shop,Putting Green,Restaurant,Social Membership,Tennis Court(s),Community Pool",,,,Yes,,"Ceiling Fan(s),Dishwasher,Disposal,Dryer,Garage Door Opener(s),Microwave Hood,Oven/Range-Elec,Refrigerator,Smoke Detector(s),Washer",,"Furnished,Turnkey","Cool-Central Electric,Heat-Central Electric",,Yes,No,"WOODVIEW VILLAS I PB 16 PG 149 LOT 8",No,275521003543,27552100,2012-12-01,3543,,08,2755,210,359463,Active,1200,Lecanto,2013-05-29T16:19:17,,,,Yes,"- Active",No,24,2012-12-11T18:21:52,,No,34442,,Rental,"Well located within gated Terra Vista of Citrus Hills. Fully furnished and equipped. Three bedrooms, two baths, two car garage.  This well appointed unit is all ready for you!  Membership dues and full outdoor maintenance is included in your rent!  Available May 15.",,"Lawn Care","Dining Room,Great Room,Inside Laundry Rm,Kitchen,Master Bedroom Suite",No,"Call Office/Agent,No Sign,Vacant,Other-See Remarks",1666,W,"Silver Meadow Loop",852,"Terra Vista",,,,,,,No,Yes,Yes,"Sewer - City,Water - City",,,No,2002,
3,,Yes,"- Active",,,No,1,0,0,Homosassa,None,,,,Yes,,"Other-See Remarks",,Unfurnished,"Cool-Central Electric,Heat-Central Electric,Heat-Heat Pump",,No,No,"Unit 6 of Homosassa PB 1 PG 48 Lots 5,6,7,8,9,10,11,12,13,14,15,16,17,18,19 & 20 Vacated alley and RES # 2001-286DESCR OR BK 1468 PG 212",No,275549101177,27554910,2013-04-04,1177,,23,2755,491,702145,Active,700,"Crystal River",2013-04-09T10:59:09,,,,Yes,"- Active",No,16,2013-04-09T10:59:09,,No,34448,,Rental,"FIRST MONTH FREE RENT!  Commercial office space for rent on heavily traveled road, HOMOSASSA Trail (rt 490)17 Units with 5 offices, 2 wharehoues and 1 house (This house is a commecial office space)Office units built in 2004 & 2007, Clean, well lite, hanicapped bath, 37 parking spaces with 4 handicaped. Signage",,"Sewer,Water","Other-See Remarks",No,"Other-See Remarks",100,,"Homossassa Trail",7831,"Not in Subdivision",,,,,,,No,No,No,"Sewer - City,Well - Private",,,No,2007,
.34,,Yes,"- Active",,,No,0,2,4,Homosassa,None,,,,Yes,,"Ceiling Fan(s),Dishwasher,Garden Tub,Microwave,Oven/Range-Elec,Refrigerator,Smoke Detector(s)",,Unfurnished,"Cool-Central Electric,Heat-Central Gas",,Yes,No,"SUGARMILL WOODS CYPRESS VLG PB 9 PG 86 LOT 14 BLK 61",No,275572803234,27557280,2013-04-12,3234,,22,2755,728,702272,Active,1300,Lecanto,2013-05-10T14:22:59,,,,Yes,"- Active",No,17,2013-05-09T20:26:49,,No,34446,,Rental,"Like New 4 Br, 2Ba, 2 Gar in Sugarmill Woods for $1,300 monthly least to qualify tenant please call 352-279-9788.",,None,"Breakfast Nook,Dining Room,Great Room,Kitchen,Master Bedroom Suite",No,"Call Office/Agent",2274,,Sanders,18,"Sugarmill Woods",,,,,,,Yes,Yes,Yes,"Sewer - City,Water - City",,,No,2005,
.16,,Yes,"- Active",,,No,0,2,2,"Crystal River","Bike Path,Clubhouse,Community Pool",,,,Yes,,"Ceiling Fan(s),Cooktop-Electric,Dishwasher,Disposal,Dryer,Microwave Hood,Oven-Electric,Refrigerator,Washer",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,Yes,No,"Faimont Vlg 2nd add PB15 PG82 Lot20 Blk5",No,27552800622,27552800,2013-04-22,622,,23,2755,280,702468,Active,900,"Crystal River",2013-04-29T12:24:22,,,,Yes,"- Active",No,6,2013-04-29T12:24:22,,No,34429,,Rental,"Meadowcrest 2/2/2 Villa. Rent includes, cable, garbage,outside maintenance, not elec. and water.Ready to move in!!",,"Cable TV,Garbage,Lawn Care,Repair/Maintenance","Great Room,Master Bedroom Suite",No,"Call Office/Agent",1416,,Endicott,1589,Meadowcrest,,,,,,,No,Yes,No,"Sewer - City,Water - City",,,No,1994,
.3,,Yes,"- Active",,,No,0,2,3,Homosassa,"Clubhouse,Tennis Court(s),Community Pool",,,,Yes,,"Ceiling Fan(s),Cooktop-Electric,Dishwasher,Dryer,Garage Door Opener(s),Microwave Hood,Oven/Range-Elec,Refrigerator,Smoke Detector(s),Washer",,"Partially,Other-See Remarks","Cool-Central Electric,Heat-Central Electric",,Yes,No,"Riverhaven Vlg Lot 14 Blk 45",No,27550840684,27550840,2013-04-22,684,,19,2755,084,702485,Active,1100,"Crystal River",2013-04-30T17:47:27,,,,Yes,"- Active",No,22,2013-04-30T17:47:27,"In Ground Pool,Screen Enclosed",Yes,34448,,Rental,"Riverhaven pool home! Beautiful, well-cared for home with SS appliances,fireplace, wood floors throughout, large fenced backyard with fruit trees. Spacious, enclosed, lanai/pool area. Pool is solar heated. Partially furnished with master bedroom furniture & one guest bedroom set, but can be rented unfurnished, also. Pool service included in monthly rent, small pets allowed.",,"Pool Care","Great Room,Kitchen,L Shaped Liv/Dining Room,Master Bedroom Suite",No,"Appointment Only,Call Property Manager",1610,W,"Fisherman Ln",11830,"Riverhaven Village",,,,,,,No,No,No,"Irrigation - Metered,Sewer - City,Water - City",,,No,1984,
.21,,Yes,"- Active",,,No,0,1,2,"Beverly Hills","Community Center,Park,Shuffleboard,Social Membership,Tennis Court(s),Community Pool",,,,Yes,,"Ceiling Fan(s),Cooktop-Electric,Refrigerator",,Unfurnished,"Cool-Wall/Window,Heat-Other,Heat-Wall/Window",,No,No,"BEVERLY HILLS UNIT 2 PB 4 PG 96 LOT 28 BLK 28",No,27550840684,27550840,2013-04-15,684,,09,2755,084,702641,Active,575,"Citrus Springs",2013-04-30T18:20:58,,,,Yes,"- Active",No,9,2013-04-30T18:20:58,,No,34465,,Rental,"Cute, clean, house in Beverly Hills. Bonus room,  large utility room with lots of storage, all season Florida room, storage shed in backyard.",,None,"Bonus,Dining Room,Florida Room,Inside Laundry Rm,Kitchen,Living Room",No,"Call Property Manager,Vacant",1300,S,Davis,28,"Beverly Hills",,,,,,,No,No,No,"Septic - Private,Water - City",,,No,1968,
0,,Yes,"- Active",,,No,0,1,0,Homosassa,None,,,,Yes,,"No Appliances",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"Homosassa spgs gdns w 170 ft of lots 1 & 2",No,27550840684,27550840,2013-04-14,684,,19,2755,084,702651,Active,600,"Crystal River",2013-05-15T16:04:24,,,,Yes,"- Active",No,1,2013-05-15T16:04:24,,No,34448,,Rental,"Wagon Wheel Plaza with High visabilty on HWY 19, just North of Howard's Flea MarketAffordable rent for great exposure, well maintained units.",,"Garbage,Sewer,Water","Other-See Remarks",No,"Call Property Manager,Vacant",800,S,"Suncoast Blvd",6013,"Homosassa Springs Gardens",,,,,,,No,No,No,"Other - See Remarks",,,No,1982,
1,,Yes,"- Active",,,No,0,2,3,Hernando,"Clubhouse,Community Center,Equestrian Trail,Golf Course,Tennis Court(s)",,,,Yes,,"Ceiling Fan(s),Dishwasher,Disposal,Garage Door Opener(s),Range Hood,Smoke Detector(s)",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,,"CLEARVIEW ESTS PB 13 PG 57 LOT 15 BLK 4",No,27553340993,27553340,2013-05-03,993,,08,2755,334,702720,Active,1250,Inverness,2013-05-03T12:41:08,,,,Yes,"- Active",No,4,2013-05-03T12:41:08,"In Ground Pool,Screen Enclosed",Yes,34442,,Rental,"Clearview estates of Citrus Hills.This is a great house in a great location. Close to Golf, tennis, shopping, lakes, Gulf, forest, riding trails. Caged pool. New carpet. Open split plan. Fireplace. You will not be disappointed.  This is probably the best rental for the money on the market.",,None,"Great Room,Living Room",No,"Coded Lockbox,Go to Site,Vacant",1898,E,Liberty,989,"Citrus Hills",,,,,,,No,Yes,Yes,"Other - See Remarks",,,No,1989,
0,,Yes,"- Active",,,No,1,1,1,"Crystal River","Bike Path,Boat Dock,Community Pool",,,,Yes,,"Ceiling Fan(s),Cooktop-Electric,Dishwasher,Disposal,Microwave,Oven-Electric,Range Hood,Refrigerator,Stack Washer/Dryer",,"Furnished,Turnkey","Heat-Central Electric",,Yes,,"Sawgrass Landing Condo Unit J-2",No,275556601230,27555660,2013-05-04,1230,,17,2755,566,702740,Active,850,"Crystal River",2013-05-04T16:53:59,,,,Yes,"- Active",No,17,2013-05-04T16:53:59,"In Ground Pool",No,34429,,Rental,"Looking for the perfect get-a-way then this is it! Fully furnished, well maintained, two story condo on a canal surrounded by sawgrass and natural tropical landscaping. Unit is equipped with stack washer/dryer, dishwasher, T.V. Ammenities include swimming pool, kayak launch, and boat slips.  Rental period seasonal or annual with rental prices adjusted accordingly. $100 cap on electric.",,"Cable TV,Electric,Garbage,Internet","Great Room,Inside Laundry Rm,Kitchen",No,"Call Property Manager,Vacant",650,N,"Seabreeze Pt",2689,"Sawgrass Landing",,,,,,,No,No,No,"Septic - Community,Water - City","Boat Dock,Canal,Gulf Access",,Yes,1983,
0,,Yes,"- Active",,,No,1,1,1,"Crystal River","BBQ Area,Boat Dock,Community Pool",,,,Yes,,"Ceiling Fan(s),Dishwasher,Disposal,Dryer,Microwave,Oven-Electric,Oven/Range-Elec,Refrigerator,Washer",,Furnished,"Cool-Central Electric,Heat-Central Electric",,No,,"SAWGRASS LANDING CONDO OR BK 621 PG 1102 UNIT O-2",No,27552790502,27552790,2013-05-09,502,,17,2755,279,702873,Active,900,"Crystal River",2013-05-20T17:49:52,,,,Yes,"- Active",Yes,10,2013-05-10T15:10:32,,No,34429,,Rental," Sawgrass Landings Condo. Take a look at this adorable 1 bed 1.5 bath remodeled condo. This waterfront community is quaint and rustic with a beautiful pool and access to the Gulf of Mexico. This home features a queen bed and a pull-out sofa for extra sleeping room. $100 Cap on Electric 900.00 per month without utilities",,"Cable TV,Electric,Garbage,Internet,Pool Care","Inside Laundry Rm,Kitchen,Living Room,Loft",No,"Call Office/Agent",650,N,"Seabreeze Pt",2645,"Sawgrass Landing",,,,,,,No,No,No,"Sewer - City,Water - City",,,Yes,1983,
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","BBQ Area,Boat Dock,Clubhouse,Community Center,Tennis Court(s),Community Pool",,,,Yes,,"Ceiling Fan(s),Dishwasher,Dryer,Microwave,Oven-Electric,Refrigerator,Washer",,Furnished,"Cool-Central Electric,Heat-Central Electric",,No,,"BAY VILLAS CONDOMINIUM BLDG 16 CONDO UNIT 73 TITLE IN OR BK 2339 PG 596",No,27552790502,27552790,2013-05-01,502,,17,2755,279,702981,Active,1600,"Crystal River",2013-05-16T15:58:45,,,,Yes,"- Active",No,9,2013-05-16T15:58:45,,No,34429,,Rental,"Beautifully updated 2 bedroom, 2 bath Waterfront Condo located in The Islands at Dixie Shores Bay Villas. Huge bedrooms, large closets, glass Florida room overlooking the water, private dock, gas grill for your enjoyment and much more! Community is very well manicured and features a pool and tennis courts. Conveniently located near all area amenities including beach, shopping, diving, dining, walking, hiking, bird trails, biking, boating, kayaking and more! Price includes basic cable, water, trash and up to $150 of electric.",,"Cable TV,Electric,Garbage,Internet","Master Bedroom Suite",No,"24 Hr Notice,Call Office/Agent",1792,W,Bayshore,11205,"Dixie Shores",,,,,,,No,No,No,"Sewer - City",,,Yes,1974,
.3,,Yes,"- Active",,,No,0,2,3,"Crystal River",None,,,,Yes,,"Other-See Remarks",,Unfurnished,"Other-See Remarks",,No,,"TOWNSITE OF CRYSTAL PARK LOTS 73 & 74 DESC IN OR BK 48 PG 378 & OR BK 850 PG 1220",No,27552790502,27552790,2013-05-01,502,,17,2755,279,703007,Active,1000,"Crystal River",2013-05-16T20:26:46,,,,Yes,"- Active",No,10,2013-05-16T20:26:46,,Yes,34429,,Rental,"3 Bedroom 2 Bath Pool Home on a large lot in Crystal River. This home has a large family room and a Florida room in addition to a living room and eat in kitchen. The lawn service and pool service are included in the price above. Call today to see!",,"Other-See Remarks","Other-See Remarks",No,"Call Office/Agent",3366,,9th,220,"Crystal Park",,,,,,,No,No,No,"Other - See Remarks",,,No,1962,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 2280107",No,2755059033265,275505903,2012-10-29,3265,,22,2755,059,358670,Active,1670,"Other Middle",2013-03-18T13:56:51,,,,Yes,"- Active",No,1,2012-10-29T18:18:26,,No,34446,,Rental,"PLEASE CALL KATHI @ 352-503-2050. Two B/R, Two Bath, golf course, 2nd floor unit in deed restricted community. Beautifully furnished and tasefully decorated. Master bath offers tub and separate shower with his/her sinks and vanity/dressing area. Lovely view of the golf course from the Master B/R,Floridaroom and L/R.  Ceramic tile throughout. Queen bed in Master with two twin beds in guest. Washer/dryer inside unity with elevator access.Covered parking and community pool.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1536,,"CYPRESS RUN3-35B",3,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks",,,No,1981,
0,,Yes,"- Active",,,No,0,2,3,Hernando,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 2631449",No,2755059033265,275505903,2012-10-29,3265,,01,2755,059,358671,Active,1200,"Other Middle",2013-03-18T13:57:21,,,,Yes,"- Active",No,16,2012-11-12T13:36:15,,Yes,34442,,Rental,"AVAILABLE IMMEDIATELY.  Fully furnished, 3/2/2 with pool and beautiful view of lake! Boaters and fisherman's paradise! Fish from your dock or enjoy a swim in the pool. This home is ready for you to move right in and enjoy the Florida lifestyle.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1391,N,"CREW TERR",6265,"River Lakes Manor",,,,,,,No,No,No,"Other - See Remarks",,,Yes,1990,
.21,,Yes,"- Active",,,No,0,2,3,Homosassa,None,,,,Yes,,"Ceiling Fan(s),Dishwasher,Disposal,Dryer,Garage Door Opener(s),Microwave Hood,Oven/Range-Elec,Refrigerator,Smoke Detector(s),Washer",,Unfurnished,"Cool-Central Electric,Heat-Heat Pump",,No,,"Volonte Springs Unit 2 PB 4 Pg 25 Lot 27",No,275539501316,27553950,2013-02-04,1316,,19,2755,395,700785,Active,1100,"Crystal River",2013-02-04T18:26:52,,,,Yes,"- Active",No,16,2013-02-04T18:26:52,,No,34448,,Rental,"Live the Florida Lifestyle on the Water...Affordable waterfront Like New 3 Bedrrom 2 Bath, 2 Car Garage.  This home has been completely refinished inside....new flooring, new paint and all new stainless steel appliances....Live maintenance free...lawn service is included in the rent!  Deep water Canal with easy access ...no bridges to river or gulf...park at your own dock and clean your catch right on the dock at the fish cleaning station.   The screened lanai overlooks the water and dock for entertaining or just kicking back!  You really have to see the inside of this home to appreciate the easy living it offers...nice quiet street of all waterfront homes!",,"Lawn Care","Dining Room,Great Room,Kitchen,Master Bedroom Suite",No,"Call Office/Agent",1474,S,"Roosevelt Pt",4130,"Volonte Springs",,,,,,,No,Yes,Yes,"Sewer - City,Water - City","Boat Dock,Canal,Gulf Access,River Access",100,Yes,1984,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1526132",No,2755059033265,275505903,2012-11-01,3265,,22,2755,059,358728,Active,1200,"Other Middle",2013-03-18T13:57:52,,,,Yes,"- Active",No,9,2012-11-12T13:47:12,,No,34446,,Rental,"IMMEDIATE AVAILABILITY. Clean,comfortable,cozy fully furnished villa outfitted with all necessities and was owner's winter retreat.Leather furniture,king size bed in master suite,queen size bed in second bedroom,a deck to enjoy your morning coffee,large office wired for hi speed internet,loads of storage space.Tasteful decor with many tropical plants create a pleasing environment for kicking back and relaxing.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1353,,"JAMAICA ST",5,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks",,,No,1978,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALTKEY 1523346",No,2755059033265,275505903,2012-11-07,3265,,22,2755,059,358861,Active,1100,"Other Middle",2013-03-18T13:58:49,,,,Yes,"- Active",No,12,2012-11-09T20:41:26,,No,34446,,Rental,"Fully Furnished and all inclusive 2 bedroom, 2 bath, 1 car garage.  Master bedroom offers Queen size bed, his/her sinks, step in shower and vanity area.  Large living room/dining room combination, two screen porches overlooking private wooded greenbelt.  Pass thru kitchen, inside laundry room with washer/dryer, double driveways.  Guest bedroom has two twin beds, guest bath has tub/shower combination.  Enjoy the season with all utilities included.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1467,,"DOGWOOD DR",44,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks",,,No,1982,
0,,Yes,"- Active",,,No,0,1,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1116317",No,2755059033265,275505903,2012-11-07,3265,,21,2755,059,358849,Active,800,"Other Middle",2013-03-18T13:58:21,,,,Yes,"- Active",No,11,2012-11-12T14:24:36,,No,34448,,Rental,"CALL OFFICE FOR AVAILABILITY. A block away from US 19, Perfect for those winter residents, power plant personnel or pipeline workers this 2 bedroom, 2 bathroom has all you need for your stay!  Come for a month or stay for a lifetime.  This rental includes all utilities and basic cable for $800 per month!  Comfortable and cozy, master bedroom boasts double bed, quest has single for those overnight guests.  Nice screen front porch on nice size lot for privacy.  Pets ok at owners discretion!",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",552,W,"ARBER CT",8880,"River Glen",,,,,,,No,No,No,"Other - See Remarks",,,No,1967,
0,,Yes,"- Active",,,No,0,1,2,"Beverly Hills","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 2847531",No,2755059033265,275505903,2012-11-08,3265,,09,2755,059,358884,Active,650,"Other Middle",2013-03-18T14:08:01,,,,Yes,"- Active",No,1,2012-11-08T14:59:46,,No,34465,,Rental,"IMMEDIATE AVAILABILITY. UNFURNISHED.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1108,S,"JACKSON ST",45,"Beverly Hills",,,,,,,No,No,No,"Other - See Remarks",,,No,1981,
0,,Yes,"- Active",,,No,0,1,1,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 2608471",No,2755059033265,275505903,2012-11-08,3265,,16,2755,059,358896,Active,650,"Other Middle",2013-03-18T14:08:25,,,,Yes,"- Active",No,1,2012-11-08T15:55:07,,No,34429,,Rental,"PLEASE CALL OFFICE FOR AVAILABILITY",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",616,SE,"MAYO DR",903,"Crystal Landing",,,,,,,No,No,No,"Other - See Remarks",,,No,1989,
0,,Yes,"- Active",,,No,1,1,2,"Beverly Hills","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 148794",No,2755059033265,275505903,2012-11-09,3265,,09,2755,059,358931,Active,1200,"Other Middle",2013-03-18T14:10:03,,,,Yes,"- Active",No,5,2012-11-09T14:47:05,,No,34465,,Rental,"Cute as a button and super affordable!  This 2 bedroom, 2 bath, 1 car garage home has a lot to offer on an oversized lot.  Living room and dining room have wood laminate flooring, kitchen has double sink and smooth surface stove.  Inside laundry room with washer and dryer.  Front screened in porch and large back screened in lanai.  Enclosed Florida Room under air with flat screen tv.  Master bedroom has queen sized bed with private bath offering walk in shower.  Guest bedroom has daybed and tv.  Guest bath has tub/shower combination.  No Pets!  Includes basic cable only, no internet, electric cap of $75.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1008,S,"LUCILLE ST",98,"Beverly Hills",,,,,,,No,No,No,"Other - See Remarks",,,No,1977,
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1095484",No,2755059033265,275505903,2012-11-09,3265,,17,2755,059,358939,Active,1795,"Other Middle",2013-03-18T14:10:54,,,,Yes,"- Active",No,11,2012-11-09T16:50:17,,No,34428,,Rental,"Waterfront 2 B/R, 2 bath condo!  Watch the manatees.Enjoy the community pool and tennis court.  Fully furnished with flat screen tv in L/R, kitchen with ceramic tile, d/w, double sink with disposal,breakfast bar.  Florida room with gorgeous view of canal. Inside laundry. Guest B/R and Master B/R have King beds.  Lg dressing room in master bath with walk-in shower.  Guest bath has tub/shower combo.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1584,W,"BAYSHORE DR",11229,"Bay Villas",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1974,
