AcresTotal,Age,AgentIDX,AgentStatus,AnnInsurance,AnnMgmtExpenses,AnnualExpenses,AnnualTaxes,AnnualUtilities,ApxLandSqft,ApxLotSize,ApxNetLeaseableSqft,AssetSales,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,CapRatePercent,City,CompassSuffix,ConstAndFoundation,County,CrossStreetName,CurrentBldgUse,DateChange,Directions,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EnergyFeatures,ExteriorFeatures,FloodPlainYNU,Floor,GrossIncome,HeatAndCool,HighSchool,HOACOAYN,HomesteadYN,InteriorFeatures,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListingType,ListPrice,LotDescription,LotDimensions,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,NumOfLoadingDocks,OccupancyDesc,OccupantName,OfficeIDX,OfficeStatus,OtherExpenses,OwnerAgentYN,ParcelNumber,Parking,ParkingTotal,PhotoCount,PhotoModificationTimestamp,PoolPresent,Possession,PostalCode,PropertySubType,PropertyType,PublicRemarks,Rails,RearExposureCode,RoadType,Roof,SewerAndWater,ShortSaleYN,Showing,SpecialInfo,SqFtTotal,StateOrProvince,Stories,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxID,TaxRange,TaxSectionCode,TaxTownship,TaxYear,TermsAvailable,TotalUnits,UnitNumber,VarDualRateCommYN,VirtualTourURL,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterFrontage,WaterFrontPresent,WaterType,YearBuilt,Zoning
.02,,Yes,"- Active",,,5286,,,805,23X35,1100,"Real Estate",0,No,,,,0,"Crystal River",,"Concrete Block,Foundation - Slab",,PENNSYLVANNIA,"Professional,Vacant",,"FROM HWY 19, GO EAST ON HWY 44, APPROX 2 MILES, JUST PAST BOWLING CENTER ON LEFT SIDE, FRONT END UNIT.",,Yes,,,"Entry - Ground Level,Outdoor Lighting",No,"Carpet,Ceramic Tile",,"Cool - Central Air,Cool - Central Electric,Heat - Central Electirc,Heat - Heat Pump",,Yes,No,"200+ Amps,Ceiling - Cathedral,Ceiling - Standard,Counters - Laminate",,"THE EXECUTIVE CENTER CONDO, BLDG A, UNIT 5",No,27551780428,27551780,2013-05-13,428,,12,2755,178,702921,0,Active,"Excl. Right to Sell",57500,"Corner Lot,Flat,Non-Waterfront,Rectangle",23X35,,2013-05-13T18:01:20,311,,0,Vacant,,Yes,"- Active",,No,2463104,"Drive - Blacktop,Drive - Paved,Parking Spaces,Paved Area",4,16,2013-05-13T18:01:20,,"At Close",34428,,Commercial,"GREAT BUSINESS LOCATION, JUST EAST OF CITY LIMITS OF CRYSTAL RIVER, PROFESSIONAL OFFICE COMPLEX; ATTORNEYS, PHARMACY, FINANCIAL, TITLE COMPANY, PSYCHOLOGIST; REAL ESTATE APPRAISER, DOWNSTAIRS=LG RECEPTIONIST AREA+(W/CATH CEILINGS), WAITING AREA, 1 OFFICES, KITCHEN  1-BATH=HANDICAPPED, STORAGE, UPSTAIRS=LOFT OFFICE(15X23; BERBER CARPET; LTS OF PARKING SPACES; HIGH UP SIGNAGE SPACE ON FRT OF BUILDING; MONTHLY DUES INCLUDE ROOF, EXTERIOR PAINTING, WATER, SEWER(SEPTIC TANK), GARBAGE, LAWN MAINTENANCE, INSURANCE,  A/C REPLACED IN JUNE 2002; WILL LEASE FOR $700/MO",No,,"County,Paved","Rubber Membrane","Sewer - Septic Private,Water - Private Well",No,"Lockbox,Vacant","Brighthouse Cable,High Speed Internet,Owner Owns Property,Progress Energy,Sold As Is",1100,FL,2,W,"GULF TO LAKE HWY-5A",7655,"Not on List",1468.13,,,,,2012,"Cash,Conventional,Lease Option/Purchase,Owner Finance",1,,No,,,,,,No,,1986,
1.8,,Yes,"- Active",0,0,,5204,0,78408,242X374X193X313,12250,"Real Estate",0,No,,,,0,Lecanto,,"Steel,Foundation - Slab",,EASY,"Distributor,Office Building,Professional,Retail,Warehouse",2013-06-09,"FROM HWY 491, GO EAST ON HWY 44 - 2 MILES,  LEFT SIDE(MONROE SALES)",,Yes,,"Extra Insulation,Ridge Vents","Fence - Chain,Fenced Yard,Handicap Modified,Outdoor Lighting,Other See Remarks",No,Concrete,,"Cool - Central Air,Heat - Central Electirc",,No,No,"220 Voltage,Ceiling - 24+ft,Ceiling - Cathedral",,"PARCEL 1A125 IN SEC 02, TWSP 19, RGE 18",No,27551780428,27551780,2013-06-09,428,,08,2755,178,703410,0,Active,"Excl. Right to Sell",1590000,"Acreage,Non-Waterfront,Rectangle,Rolling",242X374X193X313,,2013-06-09T16:49:18,0,,,Owner,,Yes,"- Active",,No,2887362,"Boat Parking,Drive - Blacktop,Drive - Paved,Parking Pad,Parking Spaces,Paved Area,Truck Parking",15,5,2013-06-09T16:47:55,,Negotiable,34461,,Commercial,"MOTIVATED SELLER-HEALTH REASONS-MAKE OFFER; ESTABLISH BOAT TRAILER SALES BUS.SINCE =1999; $500,000 EXTRA GIVES YOUR TURN KEY BUS.W/APPROX $1,000,000 OF INVENTORY; 70X175 WAREHOUSE/RETAIL BLDG,A/C(2001) OFF., 4-HANDYCAP BATHS,ZONE=GNC; CURRENTLY MONROE SALES(BOATS TRAILERS & PARTS);  REMODELED 2001; HUGE DRAINFIELD; CENT WATER; SOME ROOF/SIDES INSULATED; (2) FIRE PROOF DRS, GULF STATES BLDG=RATED-220 MPH WIND LOAD=GALVALUME ROOF & SIDES; ALARM SYS, MOTION SENS. EXT SEC. CAMERAS, OVERHANGS-FRT 12X175, REAR 15X175, 24 FT CEIL. 2-O/H DRS 10X12; 3-O/H DRS 10X14; CHAIN LINK FENCE; DIVIDED 70X73 &70X102; FIREWALL, CENT GAS 1 MILE AWAY",No,N,"Paved,State",Metal,"Sewer - Septic Private,Water - Public",No,"Appointment Only,Call List Office,Owner Occupied","Brighthouse Cable,High Speed Internet,Sold As Is,Withlacooche Electric",12250,FL,1,W,"GULF TO LAKE HWY",1115,"Metes and Bounds",5203.77,,,,,2012,"Cash,Conventional,Owner Finance",2,,No,,,,,,No,,1988,
4.4,,Yes,"- Active",,,,,,191664,"4.4 ACRES EST",12000,"Real Estate",,No,,,,0,"Crystal River",,"Steel,Foundation - Slab",,,"Light Industrial,Heavy Industrial,Warehouse,Vacant",2013-06-11,"FROM INTX OF HWY 44 & TURKEY OAK, GO WEST, JUST PAST HOLIDAY INN, VEER RIGHT ON CRYSTAL STREET,(3RD) BUILDING ON RIGHT SIDE",,Yes,,,"Entry - Ground Level,Fence - Partial,Fenced Yard",Yes,"Concrete,Vinyl",,"Cool - Central Air,Cool - Central Electric,Heat - Central Electirc",,No,No,"200+ Amps,Ceiling - 24+ft,Ceiling - Cathedral,Elec - 3 Phase",,"METES & BOUNDS, WEST PORTION PARCEL#13210IN 22/18/17, CITRUS COUNTY, FL",No,27551780428,27551780,2013-02-16,428,,16,2755,178,701087,0,Active,"Excl. Right to Sell",301000,"Acreage,Flat,Irregular,Non-Waterfront","4.4 ACRES EST",,2013-06-11T13:08:46,,,0,Vacant,,Yes,"- Active",,No,1077771,"Drive - Concrete,Drive - Paved,Parking Spaces,Paved Area",12,22,2013-02-17T16:58:35,,"At Close",34428,,Commercial,"ZONED INDUSTRIAL; 12,000 SQ FT BUILDING ON APPROX 4.4 ACRES JUST OUTSIDE CITY LIMITS OF CRYSTAL RIVER, CENTRAL WATER & SEWER-CITY OF CRYSTAL RIVER, 2-ROLL UP DOORS & 1-LG SLIDING DOOR; PREVIOUSLY USED AS LUMBER COMPANY, STILL HAS BIG BLUE VACUUM MACHINE BEHIND BUILDING; OWNER FINANCING AVAILABLE; CHAIN LINK FENCING;LG AIR CONDITIONED RECEPTION AREA, HUGE WAREHOUSE, 2-BATHS, LOFT;WILL LEASE FOR $4,000/MO PLUS SALES TAX, NO CAM; OWN FINANCING WITH AT LEAST 30% DOWN PAYMENT; OUTSIDE A/C UNIT MISSING",No,N,"County,Paved",Metal,"Sewer - Public,Water - Public",No,"Lockbox,Vacant","Sold As Is",12000,FL,1,W,"CRYSTAL ST",8325,"Not in Subdivision",4145,,,,,2012,"Cash,Conventional,Owner Finance",1,,No,,,,,,No,,1978,
3.52,,Yes,"- Active",,,,,,153331,"3.52 ACRES EST",14000,"Real Estate",,No,,,,0,"Crystal River",,"Steel,Foundation - Slab",,"HWY 44","Light Industrial,Heavy Industrial,Warehouse",2013-06-11,"FROM INTX OF TURKEY OAK & HWY 44, GO WEST SHORT DIST, VEER RIGHT ON CRYSTAL ST JUST PAST HOLIDAY INN, 2ND BLDG ON RIGHT SIDE",,Yes,,,"Entry - Ground Level,Fence - Chain,Fenced Yard,Landscape - Partial",Yes,"Concrete,Vinyl",,"Cool - Central Air,Cool - Central Electric,Heat - Central Electirc",,No,No,"200+ Amps,220 Voltage,Ceiling - 24+ft,Ceiling - Cathedral",,"METES & BOUNDS",No,27551780428,27551780,2013-02-18,428,,12,2755,178,701131,0,Active,"Excl. Right to Sell",325000,"Acreage,Flat,Irregular,Non-Waterfront","3.52 ACRES EST",,2013-06-11T19:33:36,,,0,Vacant,,Yes,"- Active",,No,1077772,"Drive - Concrete,Drive - Paved,Parking Spaces",20,24,2013-05-16T19:47:50,,"At Close",34428,,Commercial,"ZONED INDUSTRIAL; 14,000 SQ FT BUILDING ON APPROX 3.52 ACRES JUST OUTSIDE CITY LIMITS OF CRYSTAL RIVER, CENTRAL WATER & SEWER-CITY OF CRYSTAL RIVER, CHAIN LINK FENCING;DIVIDED INTO 3-BAYS; LG AIR CONDITIONED RECEPTION AREA, HUGE WAREHOUSE, WILL RENT CENTER BAY OF 6,000 SQ FT BAY FOR $1,760; BOTH END UNITS RENTED AT $1,503/EACH, GROSS INCOME = $3,006/MONTH; NO CAM; OWN FINANCING WITH AT LEAST 30% DOWN PAYMENT; WATER & ELECTRIC IS ON",No,N,"County,Paved",Metal,"Sewer - Public,Water - Public",No,"Appointment Only,Lockbox Call,Owner Occupied,Vacant","Brighthouse Cable,Flood Plain,High Speed Internet,Sold As Is,Warranty - None",14000,FL,1,W,"CRYSTAL ST",8297,"Metes and Bounds",4836,,,,,2012,"Cash,Conventional,Owner Finance",3,,No,,,,,,No,,1975,
3.07,,Yes,"- Active",,,0,5742,0,132006,309X552X156X248X159X302,1440,"Real Estate",0,No,,,,0,Homosassa,,"Aluminum Siding",,DIXIELAND,"Automotive,Building Services,Cabinet/Furniture,Office,Retail,Other See Remarks",2013-05-16,"FROM CRYSTAL RIVER, GO SOUTH ON HWY 19, PASS OZELLO LIGHT, ON EAST(LEFT) SIDE JUST NORTH OF MIDWAY ANIMAL CLINIC.",,Yes,,,"Fence - Chain,Fenced Yard",Yes,Vinyl,0,"Cool - Central Air,Cool - Central Electric,Heat - Central Electirc",,No,No,"Ceiling - 8ft",,"RIVER GLEN, BLK-B, LOT-11 & WEST 300FT OF LOT-12",No,27551780428,27551780,2013-05-06,428,,23,2755,178,702759,0,Active,"Excl. Right to Sell",395000,"Acreage,Flat,Non-Waterfront",309X552X156X248X159X302,,2013-05-16T17:35:03,0,0,0,Vacant,,Yes,"- Active",,No,3330234,"Drive - Blacktop,Drive - Gravel,Drive - Unpaved,Parking Spaces,Unassigned,Unpaved Area",50,1,2013-05-06T18:47:27,,"At Close,Other See Remarks",34448,,Commercial,"3.07 ACRES ZONED GNC(GENERAL NEIGHBORHOOD COMMERCIAL; HIGHEST COMMERCIAL ZONING BELOW INDUSTRIAL; GOOD FOR BOAT SALES, M/H SALES; ANYTHING COMMERCIAL; SMALL MODULAR OFFICE ON SITE ( 1,440 SQ FT) LOTS OF PAVED PARKING;",No,E,"Paved,State",Metal,"Sewer - Septic Private,Water - Public",No,"Call List Agent,Call List Office,Gate Code Required,Vacant","Aerial Photo,Brighthouse Cable,Flood Plain,High Speed Internet",1440,FL,1,S,"SUNCOAST BLVD/CANDY",8705,"River Glen",5741.6,,,,,2012,"Cash,Conventional,Owner Finance",1,,No,,,,,,No,,1990,
1.71,,Yes,"- Active",,,,,,74360,"169X440 PER ASSESSOR'S REPORT",2802,"Bus. & R.E.",,No,,,,0,Homosassa,,"Concrete Block,Concrete Blk/Stucco,Foundation - Slab",,,"Bar/Tavern,Restaurant",2013-05-07,"FROM CRYSTAL RIVER, GO SOUTH ON HWY 19, PAST OZELLO RD, ON RIGHT SIDE",,Yes,,,"Entry - Ground Level,Handicap Modified,Outdoor Lighting,Patio - Enclosed,Shed/Utility Bldg",Yes,"Carpet,Ceramic Tile,Laminate,Wood",,"Cool - Central Air,Cool - Central Electric,Heat - Central Electirc",,No,No,"200+ Amps,Ceiling - Cathedral,Ceiling - Standard,Counters - Laminate",,"RIVER GLEN, EAST 440 FT OF LOT-13 & N 20 FT OF LOT 14, BLK-A",No,27551780428,27551780,2013-05-02,428,,19,2755,178,702708,0,Active,"Excl. Right to Sell",695000,"Acreage,Flat,Non-Waterfront,Rectangle","169X440 PER ASSESSOR'S REPORT",,2013-05-07T15:41:12,,,,Owner,,Yes,"- Active",,Yes,2319569,"Drive - Blacktop,Drive - Paved,Parking Spaces,Paved Area",250,20,2013-05-05T20:29:49,,"At Close",34448,,Commercial,"FAT DADDY'S ROAD HOUSE RESTAURANT; TOTALLY REBUILT IN 2012;  250 PARKING SPACES; SEATING=100+; 2-COP LIQUER LICENSE; OUTDOOR LIGHTED VOLLY BALL COURT; IN BUSINESS SINCE APRIL 2012; UP & RUNNING LOCAL HANG OUT; COUNTRY WESTERN THEME BAR-B-Q ROAD HOUSE; HIGHLY TALKED ABOUT FOR THEIR GREAT FOOD; CATHEDRAL CEILINGS; CARPET, TILE & WOOD FLOORS, BAR SEATS 14; LARGE BAR-B-Q PIT;  ALL EQUIPMENT & INTERIOR IS NEW 2012 EXCEPT FOR THE FREEZER; NEW COPPER METAL ROOF;",,,"Paved,State","Metal,Other See Remarks","Sewer - Septic Private,Water - Public",No,"Appointment Only,No Sign","Brighthouse Cable,Flood Plain,High Speed Internet,Owner Owns Property,Warranty - None",2802,FL,1,S,"SUNCOAST BLVD",1470,"River Glen",4267.38,,,,,2012,"Cash,Conventional",1,,No,,,,,,No,,1986,
2,,Yes,"- Active",,,,,,86450,"2 acres(+/-)",4800,"Real Estate",,No,,,,0,Hernando,,"Concrete Blk/Stucco",,"Lake Park/off hywy 200",Church,2013-01-31,"From Inverness-Us 41 no-turn Right/East on 200-rt on Lake Park-left on Roscoe-property on left-NO SIGN appt only.",,Yes,,,"Door - Dbl. Entry,Entry - Ground Level,Fence - Other Material,Handicap Modified,Landscape - Partial,Outdoor Lighting,Pasture",Unverified,"Carpet,Laminate",,"Cool - Central Air,Heat - Central Electirc",,No,,"200+ Amps,220 Voltage,Ceiling - Standard,Counters - Laminate,Handicap Modified",,"Com at NW cor of lot 1 Lake park PB11 Pg 116....Long legal",No,27550860801,27550860,2013-01-29,801,,01,2755,086,700683,0,Active,"Excl. Right to Sell",245000,Acreage,"2 acres(+/-)",,2013-01-31T14:24:57,,,,Owner,,Yes,"- Active",,No,2343192,"Boat Parking,Drive - Circular",,4,2013-01-31T14:24:57,,"Leaseback,Negotiable",34442,,Commercial,"Excellant opportunity to own this LARGE 4900' sq. ft.Commercial Building on acerage. A great buy in todays Real Estate market. This property offers:Plenty of parking,Covered entrance,Large Main OPEN Meeting Area,Several offices,full kitchen/pantry,(newer ROOF,A/C,septic and drainfield). Currently being used as a Church this property is Zoned-CL for uses such as:Clubs,Lodges,CHURCHES,etc.",,,County,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"Call List Agent","Brighthouse Cable,Sold As Is",4900,FL,1,,Roscoe(N),3962,,0,,,,,2012,"Cash,Conventional,Exchange Considered",,,No,,,,,,No,,1985,
.93,,Yes,"- Active",,,,,,40500,150x270,0,"Real Estate",0,No,,,,0,Hernando,,Frame,,Bucknell,"RV Resort",,"41 north to Parsons Pt., to Bucknell, right to Lakefront, left to Fish Camp",,Yes,,,Trees,Unverified,"Other See Remarks",,"Heat - Other",,No,No,"Elec - Other",,"Parsons Pt. Add to Hernando PB 2, PG 19, Lots 16, 17, 18, & 19, BLK 17",No,2755158020,27551580,2011-02-28,20,,01,2755,158,347755,0,Active,"Excl. Right to Sell",249900,Irregular,150x270,,2013-02-18T14:13:19,0,,0,Tenant,,Yes,"- Active",,No,1615356,"Drive - Unpaved",12,5,2012-08-29T15:42:07,,"At Close",34442,,Commercial,"Idle Wild Fish Camp and MH Park on Lake Tsala Apopka chain, several cabins and mobile homes rented weekly and monthly.  Several RV spots available.",No,S,Paved,"Other See Remarks","Sewer - Septic Private",No,"Call List Office","Sold As Is",0,FL,1,N,"Lakefront Dr.",2369,"Parsons Point Add to Hernando",3500,,19,24,18,2010,"Cash,Conventional",8,,No,,,,,270,Yes,,1971,
.18,,Yes,"- Active",,,,,,8250,76x111x76x111,1450,"Real Estate",0,No,,,,0,Ocala,,"Concrete Blk/Stucco",,60th,"Office Building",2013-01-29,"West on Highway 40 approx. 2 miles east of I-75. on north side of divided highway.",,Yes,,"Attic Fan,Programmable Thermostat","Entry - Ground Level,Fence - Chain,Handicap Modified,Landscape - Full,Outdoor Lighting,Shed/Utility Bldg,Trees",No,"Carpet,Ceramic Tile",,"Cool - Central Air,Heat - Central Electirc",,No,No,"200+ Amps,Ceiling - 8ft,Ceiling - Standard,Counters - Laminate,Handicap Modified",,"Lots 78, 79, & 80 Blk L, Ocala Ridge, Unit 3, S. 16, T. 15, R 21E",No,2755158020,27551580,2012-03-14,20,,28,2755,158,354396,0,Active,"Excl. Right to Sell",179900,"2+ Lots",76x111x76x111,,2013-05-30T14:48:38,0,,0,Owner,"Cridland & Cridland",Yes,"- Active",,Yes,2303012,"Drive - Blacktop,Parking Spaces",6,9,2013-03-15T15:27:35,,"At Close",34482,,Commercial,"Beautiful thoroughly remodeled. Turn-Key office building, centrally located on W. Hwy. 40 just before Airport Rd. Built in reception center, 4 private offices, kitchen/Break room, large conference area, ceramic tile in common areas. Carpet in private offices.  Handicapped Accessible and ADA compliant, ceiling fans, window treatmenst, electronic lock entry system and storage shed.",No,N,"Paved,State","Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Private Well",No,"Call List Agent,Call List Office,No Sign,Owner Occupied","Owner Owns Property,Title Insurance,Other See Remarks",1450,FL,1,W,"Highway 40",5861,"Not on List",1158,,21,16,17,2011,"Cash,Conventional,Lease Option/Purchase",1,,No,,No,,,,No,,1978,
3.48,,Yes,"- Active",,,,,,151847,151X429,5060,"Real Estate",,No,,,,0,"Crystal River",,"Aluminum Siding,Steel",,,"Building Services,Light Industrial,Manufacturing",2012-07-20,"Take 19 North pass the mall. Then look for property on your left.",,Yes,,,"Entry - Ground Level,Shed/Utility Bldg",Yes,"Other See Remarks",,"Cool - Central Electric,Heat - Central Electirc",,No,No,"110 Voltage,Ceiling - Standard,Ceiling - Vaulted",,"(LR-10-03 ACCEPTED 6/2/2010 SURVEY IN OR BK 2391 PG 1303 PARCELS A & B) PARCEL A: BEG AT THE INTERSECTION OF THE N LINE OF S 1591.12 FT OF SEC 8-18-17",No,275503301408,27550330,2012-03-01,1408,,16,2755,033,354120,0,Active,"Excl. Right to Sell",250000,"Mixed Topography",151X429,,2013-02-19T17:13:35,,,5,Tenant,"Tidwell Paving",Yes,"- Active",,No,3488427,"Drive - Gravel,Storage",,11,2012-03-06T15:54:19,,Negotiable,34428,,Commercial,"Currently being operated by two tenants. This property offers 4600 Sq Ft Metal Building with 15 ft overhead doors, a 384 sq ft office in the front, and over 180 ft of HWY 19 Frontage. Zoned GNC in the front and zoned PDR in the back. The adjacent property is also available see MLS#354119.",,N,"Federal,Paved",Metal,"Sewer - Septic Private,Water - Shared Well",No,"Appointment Only,Call List Agent","Aerial Photo,Sold As Is",5060,FL,1,N,"Suncoast Blvd",4282,"Not in Subdivision",4126.54,,17,08,18,2011,"Cash,Conventional,Lease Option/Purchase,Owner Finance",2,,No,,,,,,No,,1981,
9.84,,Yes,"- Active",,,,,,429000,330X1300,1964,"Real Estate",,No,,,,0,"Crystal River",,"Concrete Block",,,"Heavy Industrial",2013-03-07,"Take 19 North property will be on your right.No sign at this time.",,Yes,,,"Fenced Yard",Unverified,"Ceramic Tile",,"Cool - None,Heat - None",,No,No,"110 Voltage,220 Voltage",,"S1/2 OF S1/2 OF SE1/4 OF SW1/4 27-18-17 EXCEPT RD R/W AND S1/2 OF S1/2 OF SW1/4 OF SW1/4 27-18-17 LYING E R/W OF SR 55 TITLE IN OR BK 1179 PG 852",Yes,275503301408,27550330,2012-03-01,1408,,16,2755,033,354126,0,Active,"Excl. Right to Sell",1300000,Rectangle,330X1300,,2013-06-09T13:35:55,,,,Tenant,,Yes,"- Active",,No,1089026,"Drive - Paved,Parking Pad,Parking Spaces",,15,2013-06-09T13:35:55,,Negotiable,34429,,Commercial,"The only Industrial Site on Hwy 19 in Crystal River is now for Sale. Offering almost 10 acres of Industrial property.Multiple concrete companies have operated on this location but now the future is here. With the fast growing area you have unlimited potential. Located near the Crystal River Airport you have a big chain hotel being built stones throw from this site and not to mention the Crystal River Commons being built just a couple blocks away.",,E,"Federal,Paved","Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"24 Hour Notice,Appointment Only,Call List Agent,No Sign","Aerial Photo,Seller Prop Disclosure,Sold As Is",3840,FL,1,N,"Suncoast Blvd",1041,"Not in Subdivision",17066.04,,17,27,18,2011,"Cash,Conventional,Lease Option/Purchase,Owner Finance",2,,No,,,,,,No,,1964,
.84,,Yes,"- Active",,,,,,36600,150X244,3268,"Real Estate",,No,,,,0,Homosassa,,Steel,,,Warehouse,2013-03-07,"Take 19 to Grover Cleveland to property on your right.",,Yes,,,Workshop,Unverified,Concrete,,"Cool - Central Electric,Heat - Central Electirc",,No,No,"220 Voltage",,"UNIT 1 OF HOMOSASSA PB 1 PG 43 LOTS 5, 6, 7 & 8 AND N 64 FT MOL OF LOTS 9, 10, 11 & 12 BLK 62 & THAT PORTION OF VACATED ALLEY THAT LIES S OF LOTS 5 TH",No,275503301408,27550330,2012-11-08,1408,,21,2755,033,358914,0,Active,"Excl. Right to Sell",215000,Flat,150X244,,2013-06-08T13:22:59,,,3,Vacant,,Yes,"- Active",,No,3357769,"Drive - Blacktop,Parking Spaces,Paved Area,Truck Parking",,17,2013-06-08T13:22:59,,"At Close",34448,,Commercial,"Once know as NCRS Disposal this property is ready for a new owner. Located less than a mile from HWY 19 on busy Grover Cleveland. This Multi-use property is perfect and in good condition for your new business.",,E,Paved,Metal,"Sewer - Septic Private,Water - Public",No,"Alarm,Appointment Only,Lister Accompany","Aerial Photo,Sold As Is",3268,FL,1,W,"Grover Cleveland",8162,"Not in Subdivision",2457.39,,,,,2011,"Cash,Conventional",,,No,,,,,,No,,1978,
.7,,Yes,"- Active",,,,,,30295,,1628,"Real Estate",,No,,,,0,Hernando,,"Concrete Block",,"Lemon Drive","Automotive,Other See Remarks",2012-10-24,"Florida Avenue(Hwy 41) Just before 200 interesection on right, going north.",,Yes,,,"Other See Remarks",No,"Other See Remarks",,"Cool - Other",,No,No,"110 Voltage",,"Townsite of Hernando PB 1 Pg 16 Lots 117, 118, 119, 120, 121 & 122",No,27551150973,27551150,2012-10-12,973,,01,2755,115,358303,0,Active,"Excl. Right to Sell",99345,Irregular,,,2012-10-24T18:34:01,,,,Tenant,,Yes,"- Active",,No,1619475,"Other See Remarks",,17,2012-10-24T18:34:01,,"At Close",34442,,Commercial,"Just under an acre of general commercial land with an old building on it. Lots of possibilities here. Lake Hernando is located just to the east and the property fronts busy US Hwy 41. Just a few yard north is the heavily trafficed intersection of US Hwy 41 and Hwy 200. If you need exposure, you will get it here. Take advantage of today's still low market values and invest in this commercial property today.",,W,"Federal,Paved","Other See Remarks","Water - Other",No,"Call List Agent,Call List Office","Aerial Photo,Sold As Is",2360,FL,1,N,"Florida Avenue",2637,"Townsite of Hernando",1563.57,,,,,2012,"Cash,Conventional",1,,Yes,,,,,,No,,1939,
1,,Yes,"- Active",0,0,0,2682,0,43500,"145 x 300",6000,"Real Estate",0,No,,,,0,Homosassa,,"Concrete Blk/Stucco,Foundation - Slab",,"S Cedar Terrace",Warehouse,2013-05-09,"Grover Cleveland Blvd to property on north side. Across the street from Dan's Clam Stand.",,Yes,,,"Fence - Partial",No,Concrete,0,"Cool - None,Heat - None",,No,No,"220 Voltage,Ceiling - 12ft",,"Lengthy see alt key # 1930791 for complete legal",No,27551150973,27551150,2013-01-29,973,,21,2755,115,700627,0,Active,"Excl. Right to Sell",210000,"Flat,Rectangle","145 x 300",,2013-05-09T19:47:40,0,0,,Vacant,none,Yes,"- Active",0,No,1930791,"Unpaved Area",,11,2013-02-12T20:30:55,,"At Close",34448,,Commercial,"Huge warehouse located on busy Grover Cleveland. Possibility for a 1,600 sq ft showroom with a little bit of work and ~4,500 sq ft workshop space. Rear of the site is fenced in with plenty of overhead doors for access. Property is zoned GNC, one of the most intense commercial zonings within the County. Some of the uses permitted but not limited to GNC are - light mechanical, dance/martial-arts, tackle-bait shop, sales-rental-service motorized vehicles, car wash facilities, kennels. Many other uses allowed. Contact your Realtor today for more information.",,N,"County,Paved","Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Needs Well,Water - Private Well",No,"Call List Agent,Call List Office,Lockbox","Aerial Photo,Sold As Is,Withlacooche Electric,Other See Remarks",6000,FL,1,W,"Grover Cleveland Blvd",7345,"Homosassa Highlands",2681.98,,,,,2012,"Cash,Conventional",1,,No,,,,,0,No,,1980,
1.13,,Yes,"- Active",,,,,,49086,"160 x 230",1755,"Real Estate",,No,,,,0,Hernando,,Frame,,"Lemon Drive",Retail,2012-10-24,"Hwy 41 to just before the 200 intersection on left hand side, going north.",,Yes,,,"Other See Remarks",No,"Other See Remarks",,"Cool - Other",,No,No,"110 Voltage",,"Townsite of Hernando PB 1 Pg 16 Lots 26, 27, 28, 29, 30, 31, 32, 37 & 38",No,27551150973,27551150,2012-10-12,973,,01,2755,115,358302,0,Active,"Excl. Right to Sell",126625,"2+ Lots,Acreage,Irregular","160 x 230",,2012-10-24T18:21:12,,,,Tenant,,Yes,"- Active",,No,1619131,"Other See Remarks",,20,2012-10-24T18:14:47,,"At Close",34442,,Commercial,"Two buildings, located on just over 1 acre, just a few yards south of the super busy Hwy 200 and US Hwy 41 intersection. Lots of traffic pass by this location on a daily basis. Here's your chance to own general commercial property at today's low market values. Property fronts Hwy 41 on the east and backs up to the biking trails to the west. Lots of possibilities here.",,W,"Federal,Paved",Metal,"Water - Other",No,"Call List Agent,Call List Office","Aerial Photo,Sold As Is",2179,FL,1,N,"Florida Avenue",2636,"Townsite of Hernando",2299.95,,,,,2012,"Cash,Conventional",2,,Yes,,,,,,No,,1944,
