AcresTotal,AgentIDX,AgentStatus,ApxLotSize,AssociationFee,AvailableUtilities,AVMYN,Buildings,City,CommunityAmenities,CompassSuffix,CondoFeeIncludes,County,CrossStreetName,DateChange,DateDeleted,Directions,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,Fencing,FloodPlainYNU,HighSchool,HOACOAYN,HomesteadYN,LandUseDesc,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListingType,ListPrice,LotDescription,LotDimensions,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,OfficeIDX,OfficeStatus,OnSiteUtilities,OwnerAgentYN,ParcelNumber,PhotoCount,PhotoModificationTimestamp,Possession,PostalCode,PropertySubType,PropertyType,PublicRemarks,RearExposureCode,Restrictions,RoadFrontage,RoadType,SewerAndWater,ShortSaleYN,Showing,SpecialInfo,StateOrProvince,StatusChangeDate,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxID,TaxRange,TaxSectionCode,TaxTownship,TaxYear,TermsAvailable,VarDualRateCommYN,VirtualTourURL,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterFrontage,WaterFrontPresent,WaterType,Zoning
.25,Yes,"- Active",71x120x129x120,135,"Cable TV,Electric-WRE,Public Water,Sewer,Underground",No,None,Homosassa,"Clubhouse,Exercise Room,Golf Course,Lighted Tennis,Tennis Court(s)",,,,"St Paulia",2013-01-29,,"98 to right on Oak Village Blvd South. Right Daisy. 1st right St Paulia. 2nd right Alyssum.",No,Yes,,None,No,,Yes,No,"Single Family Residential",,"Lot 5, Block 201, Sugarmill Woods, Oak Village",No,2755098085,27550980,2013-01-29,85,,22,2755,098,700612,0,Active,"Excl. Right to Sell",20000,"Cul-de-Sac,Greenbelt,Wooded",71x120x129x120,Lecanto,2013-02-01T01:46:42,0,Yes,"- Active",None,No,2214562,1,2013-01-29T13:44:37,"At Close",34446,,"Vacant Land","Great street in South Oak Village of Sugarmill Woods. Cul-de-sac location with nice trees.",S,"No RVs,Deed Restrictions",,"County,Paved","Sewer - None,Water - Public",No,"Go There,Vacant","Brighthouse Cable,Golf Community,HOA Disclosure,Pets Allowed,Restrictions,Title Insurance",FL,2013-01-31,,"Alyssum Court",10,"Sugarmill Woods",160.76,,,,,2012,Cash,No,,,No,No,,No,,
.33,Yes,"- Active",120x100x132x120,90,"Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone,Underground",No,None,Homosassa,"Clubhouse,Exercise Room,Golf Course,Lighted Tennis,Near Shopping",,,,"Balsam Dr",,,"West Cypress Blvd to right on Cypress Circle to right on Cypress Blvd E to right on Pine St  to right on Balsam Dr to right on Balsam Ct. W.",Yes,Yes,,,No,,Yes,No,"Single Family Residential",,"Lot 16 Blk 101 Cypress Village",No,2755098085,27550980,2013-05-30,85,,22,2755,098,703282,0,Active,"Excl. Right to Sell",35000,"Cul-de-Sac,Greenbelt,Non-Waterfront,On Golf Course,Wooded",120x100x132x120,Lecanto,2013-06-03T17:14:49,0,Yes,"- Active","Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone,Underground",No,1556287,2,2013-06-03T17:14:49,"At Close",34446,,"Vacant Land","Golf course gorgeous view down the fairway.High lot with oak trees. On quiet cul-de-sac.",,"Deed Restrictions",80,"County,Paved","Sewer - Public,Water - Public",No,"Go There,Vacant","Brighthouse Cable,Golf Community,High Speed Internet,HOA Disclosure,Pets Allowed,Progress Energy,Title Insurance",FL,2013-05-30,W,"Balsam Court",12,"Sugarmill Woods",496,,,,,2012,"Cash,Conventional",No,,,Yes,Yes,,No,,
.5,Yes,"- Active",215x105,90,"Electric-Progress Energy,Public Water,Sewer",No,None,Homosassa,"Clubhouse,Exercise Room,Golf Course,Lighted Tennis,Near Shopping,Play Area",,,,,,,"SMW US 19 - Cypress Blvd West past clubhouse, left on Cypress East to vacant lot on left before Pine St.",Yes,Yes,,,No,,Yes,No,"Single Family Residential",,"Lot 12 Block P Cypress Village",No,2755098085,27550980,2013-03-08,85,,22,2755,098,701592,0,Active,"Excl. Right to Sell",25900,"Acreage,Non-Waterfront,On Golf Course,Wooded",215x105,Lecanto,2013-03-11T17:30:29,0,Yes,"- Active","Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone",No,1529476,2,2013-03-11T17:30:29,"At Close",34446,,"Vacant Land","Fabulous golf course lot high & dry & 215' deep! Ready for beautiful new home only 2 blocks to clubhouse & on the way to Southern Woods too! Great homes surround - what a buy! Assessed much higher.",,"Deed Restrictions",100,"County,Paved","Sewer - Public,Water - Public",No,"Go There,Vacant","Brighthouse Cable,Golf Community,HOA Disclosure,Pets Allowed,Title Insurance",FL,2013-03-08,,"Cypress Blvd E",36,"Sugarmill Woods",520.63,,,,,2012,"Cash,Conventional",No,,,Yes,Yes,,No,,
.26,Yes,"- Active",98x120,85,"Cable TV,Electric-Progress Energy,Public Water,Telephone,Underground",,None,Homosassa,"Clubhouse,Exercise Room,Golf Course,Near Shopping,Tennis Court(s)",,,,"Milbark Drive",2012-11-06,,"US19 to SMW Entr., E on Cypress Blvd W./Cypress Cir. to L. on Cypress Blvd E. to L. on Linder Dr, to R. on Whitewood, to L. on Milbark Dr. to R. on Milbark Ct. Lot on right.",No,Yes,,None,Unverified,,Yes,No,"Single Family Residential",,"Sugarmill Woods, Cypress Village, Lot 14, Block 44",No,2755059031156,275505903,2008-05-08,1156,,22,2755,059,326075,03,Active,"Excl. Right to Sell",18000,"Flat,Rectangle,Wooded",98x120,Lecanto,2013-03-25T16:45:38,0,Yes,"- Active","Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone,Underground",No,1540917,5,2011-05-10T14:58:59,"At Close",34446,,"Vacant Land","Sugarmill Woods Golf Community. This lot is situated on a nice cul-de-sac street with beautiful greenbelt and trees. Save as much vegitation as desired when you build your dream home. 45 holes of golf avialable, tennis and exercise facility among the amenities. A truly unique community designed with greenspace as a priority.",W,"Deed Restrictions",98,"County,Paved","Sewer - Public,Water - Public",No,"Go There","Brighthouse Cable,High Speed Internet,Progress Energy,Small Pets Allowed,Title Insurance",FL,2013-03-25,,"Milbark Court",5,"Sugarmill Woods",185,,18,16,20,2012,"Cash,Conventional",No,,,No,No,,No,,
.43,Yes,"- Active",120x155,0,"Cable TV,Electric-WRE,Overhead,Telephone",No,None,Homosassa,"Near Shopping",,,,"Mary Ellen",2012-11-06,,"Suncoast Blvd (US19) to R on Chassahowitzka St. to R on Mary Ellen to L on Clearbrook. Lots on left.",Yes,Yes,,None,Unverified,,No,No,"Mobile Home,Single Family Residential",,"Chassahowitzka Rets. Unit 3, Lots 54 & 55, Block B",No,2755059031156,275505903,2011-10-15,1156,,20,2755,059,351723,03,Active,"Excl. Right to Sell",10000,"2+ Lots,Flat,Rectangle,Wooded",120x155,"Crystal River",2013-04-09T14:12:26,0,Yes,"- Active","Electric-WRE,Overhead,Telephone",No,1190096,1,2012-10-17T13:00:41,"At Close",34448,,"Vacant Land","Nice Level Double Lot for your new home. Partially cleared and located on a freshwater canal. Privacy on a dead end street. Close to (2) new Publix shopping plazas. Priced to sell!!!!",,"No Restrictions",155,Private,"Sewer - None,Water - Needs Well",No,"Call List Office,Go There","Brighthouse Cable,Title Insurance,Withlacooche Electric",FL,2013-04-09,W,"Clearbrook Lane",7538,"Chassahowitzka Retreats",105,,17,36,20,2012,"Cash,Conventional,FHA,VA",No,,,No,No,155,No,"Fresh Water Canal,Landlocked",
.33,Yes,"- Active",90x102x123x149,90,"Cable TV,Electric-Progress Energy,Public Water,Sewer",No,None,Homosassa,"Clubhouse,Exercise Room,Golf Course,Tennis Court(s)",,,,,2012-11-06,,"From entrance of Sugarmill Woods go West on W. Cypress Blvd., left on E. Cypress Blvd.,left on Corkwood, left on Glenridge, right on Maidenbush Cir, left on Boxleaf Ct to right on S. Boxleaf Ct.",Yes,Yes,,,No,,Yes,No,"Single Family Residential",,"Sugarmill Woods Cypress Village PB 9 PG 86 Lot 39 Blk 57",No,2755059031156,275505903,2011-03-25,1156,,22,2755,059,348255,03,Active,"Excl. Right to Sell",19500,"Cul-de-Sac,Greenbelt",90x102x123x149,Lecanto,2013-04-12T13:46:51,0,Yes,"- Active","Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone",No,1545005,7,2013-04-12T13:45:12,"At Close",34446,,"Vacant Land","Fabulous lot to build your new home, located on a private cul-de-sac. Unique in that it has a greenbelt not only along the back, but also along the north side of the property.  Lot sits high and dry; public water and public sewer. Excellent value for an oversized (1/3 acre) lot.",,"Deed Restrictions",,"County,Paved","Sewer - Public,Water - Public",No,"Go There","Golf Community,High Speed Internet,HOA Disclosure,Pets Allowed,Progress Energy",FL,2013-04-12,S,"Boxleaf Ct.",6,"Sugarmill Woods",132,,18,16,20,2012,"Cash,Conventional",No,,No,Yes,Yes,,No,,
.35,Yes,"- Active",100'x150',135,"Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone",No,None,Homosassa,"Bike Path,Clubhouse,Exercise Room,Golf Course,Lighted Tennis,Near Shopping,Tennis Court(s)",,,,"Ponce De Leon Blvd (Hwy 98)",2012-11-06,,"Hwy 19 S to L on Hwy 98 to L on Hwy 48. Lot on right 8 lots past Cactus.",Yes,Yes,,,Unverified,,Yes,No,Multi-Residential,,"Sugarmill Woods. Oak Village, Lot 8, Block 161",No,2755059031156,275505903,2012-09-09,1156,,22,2755,059,357559,03,Active,"Excl. Right to Sell",14900,"Flat,Rectangle,Wooded",100'x150',Lecanto,2012-11-06T14:07:42,0,Yes,"- Active","Public Water,Sewer",No,2155019,3,2012-09-10T16:19:38,"At Close",34446,,"Vacant Land","Nice Level Duplex Lot with lots of trees. Close to shops and Suncoast Parkway. County water and sewer. Golf and recreational facilities available.",,"Deed Restrictions",100,"County,Paved","Sewer - Public,Water - Public",No,"Go There","Brighthouse Cable,Golf Community,High Speed Internet,Pets Allowed,Progress Energy,Small Pets Allowed,Title Insurance",FL,2012-11-06,W,"Oak Park Boulevard",5928,"Sugarmill Woods",250,,18,20,20,2012,"Cash,Conventional",No,,No,No,No,,No,,
5.81,Yes,"- Active",,,Overhead,No,None,Yankeetown,,,,,,2012-12-27,,"From Inglis light, west on 40 to 60th Street property on right",Yes,Yes,,,Unverified,,No,No,"Mobile Home,Single Family Residential",,"32-16-16 Unrec survey for Tom Kno9tts Lot 21 OR Book 1026 Page 470",No,275554701916,27555470,2012-12-26,1916,,25,2755,547,359690,0,Active,"Excl. Right to Sell",39900,"Acreage,Rectangle,Wooded",,Yankeetown,2012-12-27T17:24:10,,Yes,"- Active",Overhead,No,0987654,1,2012-12-27T17:24:10,"At Close",34498,,"Vacant Land","Wooded privacy! Almost 6 acres on CR 40 in Yankeetown. Several area boat ramps to the Gulf for some of the best boating and fishing Florida has to offer",,,,County,"Sewer - None",No,"Go There,Vacant",,FL,2012-12-27,W,"Highway 40",0,,1054,,,,,2012,"Cash,Conventional",No,,No,No,No,,No,,
2.12,Yes,"- Active","2.12 Acres",,"Other See Remarks",No,None,Homosassa,,,,,"W Cardinal Street",2010-11-17,,"Take highway 19 south from homosassa to the light at W Cardinal Street. Turn right and go to W Linden Dr. Property on left....look for sign",Yes,Yes,,,Unverified,,No,No,"Mobile Home,Other See Remarks",,"Homosassa Gardens PB 4 PG 137 Tract 39",No,27553020808,27553020,2010-11-17,808,,21,2755,302,345874,0,Active,"Excl. Right to Sell",35000,"Acreage,Rectangle,Other See Remarks","2.12 Acres",Lecanto,2013-04-22T12:38:46,,Yes,"- Active","None,Other See Remarks",No,2867698,1,2013-02-13T19:15:10,,34446,,"Vacant Land","&#65279;Just Verified with planner of the day at Citrus Counties planning and Zoning Dept.. The newHomosassa Wal Mart will be in walking distance for most people from this property. Nicelywooded and off the main road for privacy. But close enough to be very covenant.There are 2 - 2 + acre lots available. The owner will consider some financing.",W,,,,"Sewer - Other,Water - Other",No,"Go There",,FL,2013-04-22,W,"Linden Dr",6753,"Homosassa Gardens",371.47,,,,,2010,"Cash,Conventional,Owner Finance",No,,No,No,No,,No,,
2.3,Yes,"- Active","2.3 Acres",,"Other See Remarks",No,None,Homosassa,,,,,"W. Cardinal Street",2010-11-17,,"Take Highway 19 South from Homosassa. Turn Left at the light for W Cardinal Street. Go East a short distance to W. Linden Dr. and turn left. Property is on the left...look for our sign.",Yes,Yes,,,Unverified,,No,,"Mobile Home,Other See Remarks",,"Homosassa Gardens PB 4 PG 137 Tract 40",No,27553020808,27553020,2010-11-17,808,,21,2755,302,345873,0,Active,"Excl. Right to Sell",35000,"Acreage,Non-Waterfront,Rectangle,Room for Pool,Wooded","2.3 Acres",Lecanto,2013-04-22T12:38:46,,Yes,"- Active",None,No,2867701,1,2013-02-13T19:15:57,,34446,,"Vacant Land","&#65279;Just Verified with planner of the day at Citrus Counties planning and Zoning Dept.. The newHomosassa Wal Mart will be in walking distance for most people from this property. Nicelywooded and off the main road for privacy. But close enough to be very covenant.There are 2 - 2 + acre lots available. The owner will consider some financing.",W,,,,"Sewer - Other,Water - Other",No,"Go There",,FL,2013-04-22,W,"Linden Dr",6741,"Homosassa Gardens",482.47,,,,,2009,"Cash,Conventional,Owner Finance,Other See Remarks",No,,No,No,No,,No,,
.25,Yes,"- Active",45x103x78x80x98,1692,"Cable TV,Electric-Progress Energy,Natural Gas,Public Water,Sewer,Telephone,Underground",No,None,Lecanto,"Clubhouse,Exercise Room,Golf Course,Tennis Court(s)",,,,,2013-03-07,,"1.2 miles N of 491 & 486, L into Black Diamond to Gatehouse; lst R onto W. Black Diamond Circle to lst L into Bermuda Dunes Vlg, then lst L onto W. Bermuda Dunes Drive. Lot is at end of cul-de-sac.",Yes,Yes,,None,No,,Yes,No,"Single Family Residential",,"BERMUDA DUNES VILLAGE PB 13 PG 112 LOT 77",No,275529803190,27552980,2012-02-15,3190,,14,2755,298,353812,0,Active,"Excl. Right to Sell",49900,"Cul-de-Sac,Flat",45x103x78x80x98,"Citrus Springs",2013-03-07T20:18:51,0,Yes,"- Active","Cable TV,Electric-Progress Energy,Public Water,Sewer,Underground",No,2548444,5,2013-03-01T15:31:12,"At Close",34461,,"Vacant Land","Priced to sell, make an offer!  Nice building lot located on cul-de-sac. Close to Clubhouse and Practice Range.  Walk out your back door and start practicing! Equity Club Membership purchase is not required.",S,"Vehicle,Deed Restrictions",,Private,"Sewer - Public,Water - Public",No,"Call List Agent,No Sign","Brighthouse Cable,DSL,Golf Community,High Speed Internet,HOA Disclosure,Pets Allowed,Progress Energy,Restrictions,Seller Prop Disclosure,Title Insurance",FL,2013-03-07,W,"Bermuda Dunes Drive",3005,"Black Diamond Ranch",458,,18,16,18,2011,"Cash,Conventional",No,,No,No,No,,No,,
.69,Yes,"- Active","250x141x250x150 approx",1660,"Cable TV,Electric-Progress Energy,Propane,Septic Sewer,Telephone",No,None,Lecanto,"Clubhouse,Exercise Room,Golf Course,Lighted Tennis,Near Shopping,Putting Green,Tennis Court(s)",,,,"Black Diamond Circle",2013-03-07,,"Black Diamond Circle to the right. Right on Pine Valley Loop.",Yes,Yes,,,No,,Yes,No,"Single Family Residential",,"BLACK DIAMOND PB 13 PG 100 LOT 15 BLK B DESC IN OR BK 899 PG 1495",No,275529803190,27552980,2012-12-19,3190,,14,2755,298,359617,0,Active,"Excl. Right to Sell",110000,"On Golf Course","250x141x250x150 approx","Citrus Springs",2013-03-07T15:27:10,138,Yes,"- Active","Electric-Progress Energy,Public Water,Septic Sewer,Underground",No,2547022,10,2012-12-19T19:31:42,"30 Days",34461,,"Vacant Land","Make an Offer!  No Membership purchase requirements. Beautiful estate home site with view of Quarry #12. Priced to sell!   Black Diamond Ranch:45 holes Tom Fazio Private Golf. Voted FL&#65533;s #1 Golf Community 2011--Gated Community. Close to Tampa & Orlando attractions. Located near the gulf for boating & fishing. Numerous rivers to kayak. 2 lighted har-tru tennis courts. Fitness center. Clubhouse with restaurant & jr-size olympic pool. Near the Withlacochee Trails and Rails for cycling.",S,"Deed Restrictions",151,Private,"Sewer - Septic Private,Water - Public",No,"Call List Agent,Call List Office,Vacant","Brighthouse Cable,Golf Community,High Speed Internet,HOA Disclosure,Pets Allowed,Progress Energy,Seller Prop Disclosure,Title Insurance",FL,2013-03-07,N,"Pine Valley",3615,"Black Diamond Ranch",1453,,,,,2012,Cash,No,,,Yes,Yes,,No,,
.35,Yes,"- Active","142x119x144x92 approx",,Telephone,No,None,Hernando,None,,"No Services",,,,,"From Hernando take St Rd 200, turn right on Sapphire, turn left on Emerald, turn left on Turquoise, turn left on Diamond, NE corner of Diamond and Garnet.",Yes,Yes,,None,Unverified,,No,No,"Single Family Residential",,"WILLOLA HEIGHTS UNIT 2 LOT 13 BLK H",No,27551060776,27551060,2013-03-06,776,,01,2755,106,701490,0,Active,"Excl. Right to Sell",8200,"Corner Lot,Flat","142x119x144x92 approx","Citrus Springs",2013-03-07T13:42:37,,Yes,"- Active",None,No,1591970,4,2013-03-07T13:42:37,"At Close",34442,,"Vacant Land","Great corner lot in waterfront community with outstanding view of the Hernando pool of the Tsala Apopka Lake Chain.  Lot is mostly cleared and .35 of an acre.  Don't wait!",NE,"Deed Restrictions",260,"County,Paved","Sewer - None,Water - Needs Well",No,"Go There","Pets Allowed,Title Insurance",FL,2013-03-06,E,"Garnet Loop",3810,"Willola Heights",100.32,,,,,2012,Cash,No,,No,No,No,,No,,
2.64,Yes,"- Active","approx 340x330",200,"Overhead,Telephone",No,None,Dunnellon,None,,"No Services",,"Presnell Terr",2013-03-12,,"From Dunklin, go North on Zaval, turn right on Stockholm, turn left on Presnell.  Road turns to left and become Inland, first lot on right after curve.",Yes,Yes,,None,Unverified,,Yes,No,"Mobile Home,Single Family Residential",,"MINI FARMS UNIT 11 UNREC SUBD PARCEL 21 DESCR AS FOLLOWS: NW 1/4 OF NE 1/4 OF NW 1/4 OF NW 1/4 OF SEC 19-17-18 SUBJ TO 25FT WIDE ESMT ALG S BDRY FOR R",No,27551060776,27551060,2013-03-12,776,,12,2755,106,701615,0,Active,"Excl. Right to Sell",11500,"Acreage,Rectangle,Wooded","approx 340x330","Crystal River",2013-03-12T18:34:33,0,Yes,"- Active",None,No,1452171,4,2013-03-12T18:34:33,"At Close",34433,,"Vacant Land","Great 2.64 acres on the North side of Dunklin priced to sell!  Get it now before it is gone!",N,"No Restrictions",340,"Private,Unpaved","Sewer - None,Water - Needs Well",No,"Go There,Vacant","Horses Allowed,Livestock Allowed,Pets Allowed,Title Insurance",FL,2013-03-12,W,"Inland Ct",5869,"Mini Farms",188.64,,,,,2012,"Cash,Conventional",No,,No,No,No,,No,,
1.02,Yes,"- Active",175x250,,"Overhead,Telephone",No,None,Hernando,,,,,Louisana,,,"From Hernando take Hwy 41 to property just North of the Dollar General.",Yes,Yes,,None,Unverified,,No,No,Commercial,,"HERNANDO CITY HGTS PB 3 PG 111: LOTS 12 THROUGH 17 BLK M SU BJ TO AGREE AS TO INGRESS AND EGRESS OVER N 25 FT OF LOTS 12 -17 AS DESCR IN OR BK 1912 PG",No,27551060776,27551060,2013-03-20,776,,01,2755,106,701887,0,Active,"Excl. Right to Sell",175000,"Flat,Pasture,Rectangle",175x250,,2013-03-24T00:27:17,,Yes,"- Active","Overhead,Telephone",No,2898089,2,2013-03-24T00:27:17,"At Close",34442,,"Vacant Land","One acre commercial property next to the Dollar General.",E,"No Restrictions",175,"Paved,State","Sewer - None,Water - Needs Well",No,"Go There,Vacant","Title Insurance",FL,2013-03-20,N,Florida,1433,"Hernando City Heights",1339.43,,,,,2012,"Cash,Conventional,Owner Finance",No,,No,No,No,,No,,
1.08,Yes,"- Active",342x141,,"Overhead,Septic Sewer,Telephone,Well",No,None,Hernando,None,,"No Services",,Maryann,,,"From Hernando take Hwy 486, turn North on Page, go to end, turn left on Keepsake, turn right on Calumet, turn right on Maryann, turn left on Elwyn, follow around curve, property on right.",Yes,Yes,,,Unverified,,No,No,"Mobile Home,Single Family Residential",,"FOREST LAKE N1/2 OF LOT 9 BLK 3 DESCR IN O R BK 493 PG 195 & 533 PG 551 & QCD 555 PG 814",No,27551060776,27551060,2013-02-12,776,,08,2755,106,700980,0,Active,"Excl. Right to Sell",12900,"Rectangle,Wooded",342x141,,2013-02-19T17:47:41,,Yes,"- Active","Septic Sewer,Well",No,1605890,3,2013-02-19T17:47:41,"At Close",34442,,"Vacant Land","Nice 1 acre lot with well and septic.  Mobile home has been removed.  Owners do not guarantee well or septic.",S,"No Restrictions",332,"County,Paved","Sewer - Septic Private,Water - Private Well",No,"Go There,Vacant","Pets Allowed,Sold As Is,Title Insurance",FL,2013-02-12,N,Elwyn,4165,"Forest Lake",589,,,,,2011,Cash,No,,No,No,No,,No,,
.3,Yes,"- Active",.30,,"Cable TV,Overhead,Telephone",,None,Hernando,None,,"No Services",,Delight,2006-08-17,,"From Hernando take State Road 200 N, turn right on Delight, then left on Gloria.  Lot on left.  Four vacant lots in a row, this is the second vacant lot from Delight.",No,Yes,,None,Unverified,,No,No,"Single Family Residential",,"Lot 52 Block 21 River Lakes Manor Unit 1 PB 3 Pg 96",No,27551060776,27551060,2013-04-16,776,,01,2755,106,702334,0,Active,"Excl. Right to Sell",12000,"Waterfront,Wooded",.30,"Citrus Springs",2013-04-16T17:53:00,,Yes,"- Active",None,No,1581966,5,2013-04-16T17:53:01,"At Close",34442,,"Vacant Land","Very nice waterfront lot in homes only community.  Water is nice large canal to the Hernando pool of the Tsala Apopka Lake Chain.  Lot is approx. .3 acre, heavily wooded.  Nice easy ride to Ocala.  Four vacant lots in a row, this is the second vacant lot from Delight.",W,,80,"County,Paved","Sewer - None,Water - Needs Well",No,"Go There,Vacant","Title Insurance",FL,2013-04-16,E,"Gloria Dr",3955,"River Lakes Manor",222.08,,19,01,18,2012,"Cash,Conventional",No,,No,No,No,100,Yes,"Fresh Water Canal,Lake",
1.54,Yes,"- Active",1.54,,"Electric-Progress Energy,Overhead,Public Water,Septic Sewer,Telephone,Well",No,None,Hernando,None,,"No Services",,McGee,,,"From Hernando take Hwy 486, Norvell Bryant Hwy, to lot on left just before McGee Dr.",Yes,Yes,,Chain,Unverified,,No,No,Commercial,,"HERCALA ACRES UNIT 2 PB 8 PG 17 PT OF LOT 87: COM AT NW COR OF LOT 86, TH S 71 DEG 57M 34S E AL S R/W LN OF CO RD 486, 3 41.81 FT TO POB, TH S 300 FT,",No,27551060776,27551060,2013-03-20,776,,08,2755,106,701888,0,Active,"Excl. Right to Sell",125000,"Other See Remarks",1.54,,2013-03-24T00:59:00,,Yes,"- Active","Septic Sewer,Well",No,3230604,3,2013-03-24T00:59:00,"At Close",34442,,"Vacant Land","Great location on Hwy 486, Norvell Bryant Highway.  Between Progress Energy substation and storage units. Zoned GNC. Owner will consider financing with substantial down payment. Approx. 1.5 acres with curb cut and apron.",S,"Other See Remarks",250,"County,Paved","Sewer - Septic Private,Water - Private Well,Water - Public",No,"Go There,Vacant","Progress Energy,Sold As Is,Title Insurance",FL,2013-03-20,E,"Norvell Bryant",1220,"Hercala Acres",1490,,,,,2012,"Cash,Conventional,Owner Finance",No,,No,No,No,,No,,
.67,Yes,"- Active",225x130,,"Electric-Progress Energy,Telephone",No,None,Dunnellon,,,,,"Cottonwoods Dr",2012-12-14,,"From Crystal River.  19N to right on Hwy 488, to left on W Citruswood Dr, to sign on right.",Yes,Yes,,,No,,No,No,Commercial,,"Rainbow Ests Unit 1 Lobs 19,20, & 21 Blk A",No,27550580242,27550580,2012-03-15,242,,12,2755,058,354380,0,Active,"Excl. Right to Sell",10000,"Corner Lot,Rectangle,Wooded",225x130,,2013-02-08T18:05:09,,Yes,"- Active",None,No,1022762,1,2012-03-21T13:59:41,"At Close",34433,,"Vacant Land","Zones General Commercial.  One block off of Hwy 488.  Corner Lot.  225' on Crystal River Pl is unpaved.  130' on Citruswoods Dr. is paved. Data on square footage of improvements and lot sizes and areas (if any), may have been obtained from Citrus Co. Prop. Appr. Website and it's accuracy is not guaranteed.",,"No Restrictions",225,Unpaved,"Sewer - None,Water - Needs Well",No,"Call List Agent,Go There,Vacant",,FL,2013-02-08,W,"Crystal River Pl",7556,"Rainbow Est.",181.46,,17,11,17,2011,Cash,No,,No,No,No,,No,,
.27,Yes,"- Active",100x120,,"Cable TV,Telephone",No,None,Hernando,"Boat Dock,Boat Ramp",,,,,2013-03-19,,"From Inverness:  41N to 200N Pass Tiger Eye, turn right at next drive.  Property is on the right.",Yes,Yes,,,Yes,,No,No,"Single Family Residential",,"lengrthy see alt # 2537299",No,27550580242,27550580,2013-03-18,242,,01,2755,058,701790,0,Active,"Excl. Right to Sell",25000,"Flat,Rectangle,Waterfront",100x120,,2013-03-19T19:53:39,,Yes,"- Active",None,No,2537299,1,2013-03-19T19:47:11,"At Close",34442,,"Vacant Land","Nice waterfront property on Hwy 200.  convenient to Ocala.",,,120,"County,Paved","Sewer - None,Water - Needs Well",No,"Go There","Sold As Is,Title Insurance",FL,2013-03-19,N,"Carl G Rose Hwy",5351,,226.08,,,,,2012,Cash,No,,No,No,No,,Yes,Lake,
6.47,Yes,"- Active",,900,"Telephone,Underground",No,"Other See Remarks",Wildwood,,,,,,2012-10-06,,"From Inverness, E.St.Rd. 44 go over the Bridge, to CR 243 then left on NW 81st AV.",Yes,Yes,,,Unverified,,Yes,No,"Single Family Residential",,"Lot 68, The Preserve At Oak Hill, PB 8 Pgs. 6-6H, Public Records Sumter County, Florida",No,27550470375,27550470,2011-05-19,375,,26,2755,047,349236,0,Active,"Excl. Right to Sell",84110,"Acreage,Corner Lot,Non-Waterfront",,,2013-05-02T17:17:31,75,Yes,"- Active",None,No,C31B068,13,2013-05-02T17:17:31,"At Close",34785,,"Vacant Land","Gated Equestrain Community, bring your horses. The Preserve At Oak Hill, Beautiful area with gently rolling hills and has miles of trails for your enjoyment. Only minutes from I-75, Ocala, The Villages, Inverness, great location.",,"Deed Restrictions",,"Paved,Private","Sewer - None,Water - Needs Well",No,"Call List Office,Gate Code Required","HOA Disclosure,Horses Allowed",FL,2013-05-02,,"NW 81st. Av.",0,,1508.65,,22,31,18,2010,"Cash,Conventional",No,,,Yes,Yes,,No,,
.68,Yes,"- Active",,,"Electric-SECO,Telephone",No,None,Inverness,,,,,"E. Gulf to Lake Hwy.",2012-03-19,,"From Downtown Inverness go East on E. Gulf to Lake Hwy. (St. Rd. 44). Go about 6 mi. to Crabtree Pt.( just pass Fishermans Restaurant & do a turn around to get back to Crabtree Pt.",Yes,Yes,,,Unverified,,No,No,"Single Family Residential",,,No,27550470375,27550470,2012-03-16,375,,02,2755,047,354428,0,Active,"Excl. Right to Sell",42900,"2+ Lots,Waterfront",,,2013-04-02T01:55:14,,Yes,"- Active",Electric-SECO,No,"2 AK#'s",12,2013-04-02T01:53:31,,34450,,"Vacant Land","2 Waterfront Lots being sold together ( 662 & 686 S. Crabtree Pt.). Lots are on a canal that lead to the Withlacooche River. It's airboat water mostley and sometimes small motor boats, also excellent for canoers/adventurers or just living on the water. This part of the river is like a mini everglades with it's multifaceted channels. Not far from local shopping( Inverness 15-20 mins.) also close to The Villages and Ocala (25-40 mins.) Alt Key #'s 1877971 & 1877989",,,,,"Sewer - None,Water - Needs Well",No,"Call List Agent,Go There",,FL,2013-04-01,,"Crabtree Pt.",0,,467.54,,,,,2011,"Cash,Conventional",No,,,Yes,Yes,,Yes,"Fresh Water Canal,River Canal",
